Extraversion,Number of Texters,Hours of Sleep,Handedness,Undergrad Year
2,5,8,Left-handed,First
7,15,7,Right-handed,First
4,3,8,Right-handed,Second
6,15,8.5,Right-handed,First
6,4,8,Right-handed,Second
3,4,9,Right-handed,Fourth or Higher
7,2,7,Right-handed,Second
8,10,7,Right-handed,Third
3,3,8.5,Right-handed,Fourth or Higher
5,4,8,Right-handed,Fourth or Higher
8,3,7,Right-handed,Second
5,5,7,Right-handed,Third
3,10,7,Right-handed,Second
7,6,7,Right-handed,First
5,5,7,Ambidextrous / It's Complicated,Second
8,6,8,Right-handed,Second
6,4,7,Right-handed,First
5,15,8,Right-handed,Second
8,10,7,Right-handed,Second
4,4,8,Right-handed,Third
7,30,6.5,Right-handed,First
3,6,7,Right-handed,Second
7,5,8,Right-handed,Third
10,4,7,Right-handed,Second
6,4,8,Right-handed,Second
1,4,8,Right-handed,First
6,5,6,Right-handed,Third
3,9,7.5,Right-handed,Third
4,10,7,Right-handed,Second
7,20,8,Right-handed,Second
3,10,6.5,Right-handed,First
3,10,8,Right-handed,First
5,10,8,Right-handed,Second
8,15,7.5,Right-handed,First
4,5,9,Right-handed,First
6,5,7,Right-handed,Second
3,2,7,Right-handed,Second
6,5,8,Right-handed,Second
4,10,9,Right-handed,Second
6,10,7,Right-handed,First
7,10,7,Right-handed,Second
7,7,6,Right-handed,Second
7,4,7,Right-handed,Second
4,10,8,Right-handed,Second
7,7,8,Right-handed,Second
8,15,7,Right-handed,Second
5,4,6,Right-handed,Fourth or Higher
8,13,7,Right-handed,Second
4,7,8,Right-handed,Second
3,3,7,Right-handed,First
2,3,7,Right-handed,Fourth or Higher
5,3,8,Right-handed,First
5,7,7,Right-handed,First
6,5,7,Right-handed,Fourth or Higher
4,10,8,Right-handed,First
3,5,7,Right-handed,First
9,20,8,Right-handed,First
3,4,7,Right-handed,First
3,2,7,Right-handed,First
1,5,8,Right-handed,First
4,4,8,Left-handed,First
4,10,7,Right-handed,First
6,4,7.5,Right-handed,Second
7,7,6,Right-handed,Third
7,10,7,Right-handed,First
6,13,9,Right-handed,Second
6,8,8,Left-handed,Third
7,7,7.5,Right-handed,Fourth or Higher
7,10,8,Right-handed,Fourth or Higher
3,5,1,Right-handed,Third
